Track,Artist,BPM,Energy,Valence,Danceability,Acousticness,Popularity,Year
Ibiza Session Track 639,Black Coffee,124,0.91,0.23,0.7,0.01,49,1999
Ibiza Session Track 640,Jamie Jones,130,0.72,0.12,0.69,0.09,66,2007
Ibiza Session Track 641,Carl Cox,125,0.92,0.52,0.74,0.02,60,2007
Ibiza Session Track 642,Black Coffee,127,0.83,0.84,0.89,0.19,55,2004
Ibiza Session Track 643,Black Coffee,105,0.42,0.52,0.64,0.39,49,2019
Ibiza Session Track 644,The Martinez Brothers,127,0.78,0.2,0.63,0.03,70,1998
Ibiza Session Track 645,Hot Since 82,124,0.83,0.2,0.7,0.07,63,2000
Ibiza Session Track 646,Jamie Jones,126,0.64,0.75,0.87,0.06,51,1998
Ibiza Session Track 647,Maceo Plex,128,0.78,0.64,0.75,0.15,48,2021
Ibiza Session Track 648,The Martinez Brothers,103,0.48,0.52,0.54,0.32,71,2017
Ibiza Session Track 649,Jamie Jones,127,0.95,0.66,0.7,0.03,58,2013
Ibiza Session Track 650,Jamie Jones,126,0.76,0.63,0.7,0.02,75,2008
Ibiza Session Track 651,Marco Carola,96,0.36,0.35,0.62,0.68,40,1999
Ibiza Session Track 652,Solomun,128,0.87,0.36,0.62,0.03,53,2010
Ibiza Session Track 653,Fisher,122,0.69,0.82,0.89,0.15,59,2016
Ibiza Session Track 654,Calvin Harris,126,0.86,0.34,0.79,0.05,50,2018
Ibiza Session Track 655,Calvin Harris,105,0.5,0.6,0.58,0.3,68,2005
Ibiza Session Track 656,The Martinez Brothers,132,0.71,0.2,0.79,0.09,79,2021
Ibiza Session Track 657,Fisher,127,0.86,0.72,0.72,0.03,47,2002
Ibiza Session Track 658,Black Coffee,121,0.6,0.81,0.89,0.02,67,2020
Ibiza Session Track 659,Black Coffee,84,0.52,0.31,0.59,0.38,69,2020
Ibiza Session Track 660,Calvin Harris,99,0.41,0.58,0.52,0.45,66,1999
Ibiza Session Track 661,The Martinez Brothers,125,0.86,0.3,0.75,0.08,46,2012
Ibiza Session Track 662,Calvin Harris,110,0.43,0.48,0.53,0.56,52,2018
Ibiza Session Track 663,Solomun,130,0.93,0.43,0.6,0.04,70,2005
Ibiza Session Track 664,Fisher,129,0.85,0.45,0.71,0.03,45,2010
Ibiza Session Track 665,Carl Cox,123,0.74,0.81,0.84,0.18,55,1995
Ibiza Session Track 666,Marco Carola,98,0.41,0.33,0.52,0.8,50,2018
Ibiza Session Track 667,Black Coffee,128,0.87,0.78,0.69,0.05,56,2023
Ibiza Session Track 668,Carl Cox,120,0.83,0.85,0.73,0.02,71,2022
Ibiza Session Track 669,Calvin Harris,124,0.88,0.62,0.79,0.18,58,2024
Ibiza Session Track 670,Fisher,122,0.8,0.26,0.68,0.04,45,2005
Ibiza Session Track 671,Black Coffee,93,0.35,0.45,0.51,0.75,49,2009
Ibiza Session Track 672,Fisher,124,0.69,0.7,0.89,0.07,79,2012
Ibiza Session Track 673,Marco Carola,125,0.92,0.56,0.7,0.0,48,1996
Ibiza Session Track 674,Carl Cox,133,0.84,0.39,0.64,0.09,51,2018
Ibiza Session Track 675,Jamie Jones,91,0.46,0.31,0.52,0.45,51,2014
Ibiza Session Track 676,Carl Cox,124,0.61,0.84,0.83,0.14,40,2012
Ibiza Session Track 677,Fisher,106,0.54,0.36,0.63,0.31,79,2006
Ibiza Session Track 678,Solomun,134,0.7,0.19,0.75,0.08,52,2018
Ibiza Session Track 679,Calvin Harris,128,0.9,0.43,0.64,0.05,62,2013
Ibiza Session Track 680,Maceo Plex,123,0.68,0.51,0.84,0.15,48,2001
Ibiza Session Track 681,MK,126,0.86,0.4,0.74,0.04,69,2018
Ibiza Session Track 682,Jamie Jones,96,0.42,0.41,0.56,0.76,60,2020
Ibiza Session Track 683,Black Coffee,125,0.92,0.38,0.73,0.1,65,2022
Ibiza Session Track 684,Carl Cox,127,0.9,0.27,0.64,0.08,45,2019
Ibiza Session Track 685,Peggy Gou,124,0.7,0.67,0.7,0.0,52,1997
Ibiza Session Track 686,Jamie Jones,121,0.9,0.81,0.78,0.18,59,2023
Ibiza Session Track 687,Hot Since 82,126,0.73,0.36,0.73,0.07,71,2022
Ibiza Session Track 688,MK,98,0.45,0.38,0.51,0.7,49,2015
Ibiza Session Track 689,Solomun,130,0.77,0.17,0.79,0.0,53,2025
Ibiza Session Track 690,The Martinez Brothers,125,0.96,0.51,0.68,0.0,59,2024
Ibiza Session Track 691,Jamie Jones,121,0.63,0.72,0.88,0.02,57,2016
Ibiza Session Track 692,Calvin Harris,128,0.87,0.16,0.61,0.03,53,1998
Ibiza Session Track 693,MK,113,0.57,0.44,0.63,0.33,66,2001
Ibiza Session Track 694,Black Coffee,126,0.85,0.35,0.71,0.04,70,2012
Ibiza Session Track 695,The Martinez Brothers,129,0.92,0.76,0.61,0.04,47,2022
Ibiza Session Track 696,Calvin Harris,126,0.65,0.71,0.87,0.06,68,1999
Ibiza Session Track 697,David Guetta,125,0.78,0.1,0.65,0.04,41,2002
Ibiza Session Track 698,Peggy Gou,129,0.73,0.34,0.66,0.02,73,2022
Ibiza Session Track 699,The Martinez Brothers,126,0.84,0.65,0.75,0.14,72,1998
Ibiza Session Track 700,Tale Of Us,130,0.89,0.71,0.68,0.02,66,2010
Ibiza Session Track 701,Peggy Gou,93,0.31,0.48,0.7,0.33,61,2023
Ibiza Session Track 702,Maceo Plex,108,0.37,0.69,0.65,0.8,76,2013
Ibiza Session Track 703,Carl Cox,132,0.86,0.28,0.67,0.06,76,2016
Ibiza Session Track 704,David Guetta,103,0.34,0.64,0.52,0.62,63,2016
Ibiza Session Track 705,The Martinez Brothers,127,0.93,0.58,0.61,0.01,47,2008
Ibiza Session Track 706,Fisher,128,0.9,0.56,0.68,0.01,74,2006
Ibiza Session Track 707,Calvin Harris,123,0.79,0.68,0.85,0.13,61,2002
Ibiza Session Track 708,Calvin Harris,121,0.61,0.71,0.79,0.19,61,2013
Ibiza Session Track 709,Hot Since 82,96,0.35,0.58,0.66,0.44,57,2000
Ibiza Session Track 710,Marco Carola,108,0.57,0.49,0.66,0.48,54,1997
Ibiza Session Track 711,Carl Cox,105,0.52,0.48,0.68,0.42,44,2017
Ibiza Session Track 712,Solomun,134,0.77,0.17,0.7,0.04,40,2017
Ibiza Session Track 713,Tale Of Us,123,0.75,0.81,0.79,0.13,42,1995
Ibiza Session Track 714,MK,121,0.84,0.85,0.71,0.12,49,1999
Ibiza Session Track 715,The Martinez Brothers,130,0.97,0.44,0.62,0.03,68,2005
Ibiza Session Track 716,Black Coffee,77,0.36,0.46,0.62,0.62,52,2010
Ibiza Session Track 717,Solomun,134,0.9,0.18,0.64,0.04,63,2022
Ibiza Session Track 718,Calvin Harris,127,0.87,0.21,0.78,0.1,44,2001
Ibiza Session Track 719,The Martinez Brothers,129,0.95,0.4,0.64,0.02,74,2015
Ibiza Session Track 720,Marco Carola,97,0.49,0.54,0.55,0.47,76,2021
Ibiza Session Track 721,Peggy Gou,123,0.61,0.83,0.79,0.0,77,2013
Ibiza Session Track 722,David Guetta,125,0.96,0.43,0.71,0.01,58,1999
Ibiza Session Track 723,Hot Since 82,128,0.88,0.34,0.7,0.06,69,1999
Ibiza Session Track 724,Carl Cox,128,0.71,0.4,0.73,0.03,78,2021
Ibiza Session Track 725,Jamie Jones,123,0.79,0.81,0.89,0.09,46,2011
Ibiza Session Track 726,Fisher,103,0.47,0.42,0.51,0.33,54,2007
Ibiza Session Track 727,Marco Carola,128,0.76,0.28,0.7,0.09,72,2009
Ibiza Session Track 728,David Guetta,127,0.88,0.71,0.75,0.06,80,2017
Ibiza Session Track 729,Carl Cox,124,0.84,0.55,0.72,0.08,54,2025
Ibiza Session Track 730,MK,129,0.74,0.13,0.72,0.07,57,2020
Ibiza Session Track 731,Solomun,124,0.81,0.52,0.83,0.16,53,2022
Ibiza Session Track 732,Jamie Jones,124,0.89,0.54,0.71,0.03,55,2010
Ibiza Session Track 733,Calvin Harris,107,0.4,0.3,0.54,0.44,66,2013
Ibiza Session Track 734,Black Coffee,126,0.88,0.75,0.6,0.04,45,1998
Ibiza Session Track 735,Marco Carola,112,0.57,0.43,0.5,0.39,42,2009
Ibiza Session Track 736,Marco Carola,132,0.97,0.74,0.68,0.02,74,2001
Ibiza Session Track 737,Maceo Plex,104,0.59,0.65,0.56,0.57,42,2005
Ibiza Session Track 738,Hot Since 82,128,0.99,0.69,0.64,0.03,80,2019
Ibiza Session Track 739,David Guetta,128,0.85,0.59,0.62,0.03,63,2004
Ibiza Session Track 740,Maceo Plex,90,0.55,0.61,0.51,0.5,41,2012
Ibiza Session Track 741,MK,131,0.85,0.12,0.8,0.08,71,2022
Ibiza Session Track 742,Maceo Plex,110,0.31,0.67,0.69,0.4,70,2006
Ibiza Session Track 743,Marco Carola,127,0.86,0.64,0.66,0.01,52,1996
Ibiza Session Track 744,Peggy Gou,125,0.93,0.44,0.63,0.0,73,2008
Ibiza Session Track 745,Calvin Harris,96,0.44,0.62,0.62,0.59,50,2001
Ibiza Session Track 746,Calvin Harris,129,0.89,0.1,0.67,0.05,49,1997
Ibiza Session Track 747,Fisher,120,0.69,0.8,0.86,0.18,68,2021
Ibiza Session Track 748,Tale Of Us,126,0.95,0.45,0.71,0.0,70,2002
Ibiza Session Track 749,David Guetta,123,0.81,0.62,0.79,0.0,76,2011
Ibiza Session Track 750,MK,86,0.6,0.56,0.56,0.68,72,2005
Ibiza Session Track 751,Maceo Plex,129,0.89,0.74,0.66,0.02,46,2015
Ibiza Session Track 752,Black Coffee,96,0.48,0.48,0.68,0.56,53,1999
Ibiza Session Track 753,Black Coffee,100,0.5,0.36,0.66,0.53,59,2019
Ibiza Session Track 754,Fisher,127,0.92,0.11,0.78,0.06,48,2025
Ibiza Session Track 755,Calvin Harris,125,0.9,0.65,0.69,0.02,72,1998
Ibiza Session Track 756,Black Coffee,123,0.61,0.84,0.73,0.07,55,2020
Ibiza Session Track 757,Calvin Harris,130,0.74,0.36,0.63,0.07,66,2001
Ibiza Session Track 758,Carl Cox,113,0.58,0.31,0.61,0.42,65,2025
Ibiza Session Track 759,MK,125,0.89,0.85,0.75,0.03,53,2011
Ibiza Session Track 760,Marco Carola,121,0.89,0.61,0.89,0.03,51,2007
Ibiza Session Track 761,Peggy Gou,130,0.96,0.74,0.69,0.01,50,2012
Ibiza Session Track 762,Carl Cox,111,0.34,0.58,0.58,0.78,41,2023
Ibiza Session Track 763,Peggy Gou,121,0.85,0.55,0.76,0.16,70,1997
Ibiza Session Track 764,The Martinez Brothers,82,0.32,0.31,0.58,0.72,43,2025
Ibiza Session Track 765,Black Coffee,124,0.77,0.75,0.8,0.03,59,2010
Ibiza Session Track 766,MK,127,0.64,0.7,0.78,0.05,75,2025
Ibiza Session Track 767,Fisher,125,0.61,0.56,0.79,0.05,57,2006
Ibiza Session Track 768,Carl Cox,92,0.55,0.34,0.58,0.79,75,1997
Ibiza Session Track 769,Jamie Jones,128,0.9,0.43,0.63,0.05,47,2014
Ibiza Session Track 770,Solomun,103,0.33,0.56,0.57,0.35,51,2023
Ibiza Session Track 771,Peggy Gou,124,0.65,0.83,0.81,0.14,41,2018
Ibiza Session Track 772,Black Coffee,127,0.73,0.67,0.72,0.03,53,2017
Ibiza Session Track 773,Jamie Jones,121,0.7,0.7,0.72,0.19,45,2018
Ibiza Session Track 774,David Guetta,98,0.34,0.7,0.59,0.49,71,2008
Ibiza Session Track 775,Maceo Plex,123,0.94,0.32,0.77,0.08,60,1996
Ibiza Session Track 776,Jamie Jones,127,0.99,0.54,0.64,0.01,41,1997
Ibiza Session Track 777,Jamie Jones,126,0.76,0.65,0.89,0.14,52,2017
Ibiza Session Track 778,David Guetta,125,0.82,0.34,0.79,0.06,47,2024
Ibiza Session Track 779,Solomun,128,0.98,0.45,0.61,0.05,63,2025
Ibiza Session Track 780,Peggy Gou,131,0.81,0.11,0.61,0.02,45,2012
Ibiza Session Track 781,Solomun,128,0.89,0.35,0.65,0.02,51,2011
Ibiza Session Track 782,Hot Since 82,124,0.93,0.41,0.75,0.0,65,2018
Ibiza Session Track 783,Tale Of Us,122,0.91,0.13,0.63,0.09,41,2003
Ibiza Session Track 784,Calvin Harris,124,0.75,0.24,0.77,0.07,67,2009
Ibiza Session Track 785,Solomun,126,0.94,0.5,0.73,0.0,53,2019
Ibiza Session Track 786,Black Coffee,112,0.45,0.33,0.68,0.35,72,2002
Ibiza Session Track 787,Solomun,126,0.75,0.51,0.87,0.17,45,2024
Ibiza Session Track 788,Black Coffee,129,0.72,0.38,0.69,0.04,51,2002
Ibiza Session Track 789,Solomun,109,0.3,0.68,0.7,0.51,76,1999
Ibiza Session Track 790,Peggy Gou,123,0.88,0.87,0.86,0.09,41,2012
Ibiza Session Track 791,Jamie Jones,130,0.75,0.13,0.75,0.06,60,2011
Ibiza Session Track 792,The Martinez Brothers,101,0.53,0.31,0.65,0.7,66,2004
Ibiza Session Track 793,David Guetta,87,0.38,0.56,0.67,0.4,49,2022
Ibiza Session Track 794,Jamie Jones,101,0.49,0.37,0.59,0.4,41,1998
Ibiza Session Track 795,The Martinez Brothers,131,0.86,0.48,0.65,0.02,80,1995
Ibiza Session Track 796,Black Coffee,116,0.86,0.57,0.89,0.14,41,2008
Ibiza Session Track 797,The Martinez Brothers,129,0.91,0.78,0.7,0.04,56,2007
Ibiza Session Track 798,Peggy Gou,124,0.7,0.6,0.73,0.03,60,2002
Ibiza Session Track 799,Fisher,102,0.4,0.62,0.6,0.78,41,2009
Ibiza Session Track 800,Maceo Plex,98,0.43,0.69,0.64,0.34,44,2017
Ibiza Session Track 801,Peggy Gou,90,0.32,0.6,0.67,0.32,44,2011
Ibiza Session Track 802,The Martinez Brothers,125,0.84,0.86,0.73,0.12,41,2000
Ibiza Session Track 803,Tale Of Us,127,0.74,0.27,0.77,0.08,64,2020
Ibiza Session Track 804,Fisher,128,0.79,0.34,0.6,0.05,66,2023
Ibiza Session Track 805,David Guetta,131,0.88,0.42,0.62,0.04,51,2003
Ibiza Session Track 806,Tale Of Us,122,0.89,0.67,0.75,0.19,73,2003
Ibiza Session Track 807,Tale Of Us,126,0.72,0.77,0.79,0.08,50,2002
Ibiza Session Track 808,Solomun,124,0.76,0.81,0.85,0.19,56,2011
Ibiza Session Track 809,Tale Of Us,113,0.32,0.41,0.53,0.47,61,2014
Ibiza Session Track 810,David Guetta,123,0.83,0.81,0.88,0.02,61,2006
Ibiza Session Track 811,David Guetta,125,0.74,0.88,0.8,0.03,78,2015
Ibiza Session Track 812,Jamie Jones,129,0.95,0.45,0.67,0.03,63,2013
Ibiza Session Track 813,The Martinez Brothers,126,0.86,0.46,0.6,0.01,51,2008
Ibiza Session Track 814,Solomun,129,0.91,0.54,0.68,0.0,58,2017
Ibiza Session Track 815,Tale Of Us,128,0.92,0.18,0.66,0.03,67,1999
Ibiza Session Track 816,MK,91,0.32,0.58,0.51,0.59,42,2012
Ibiza Session Track 817,Black Coffee,102,0.52,0.67,0.51,0.7,44,1998
Ibiza Session Track 818,The Martinez Brothers,125,0.8,0.55,0.73,0.04,65,2011
Ibiza Session Track 819,Marco Carola,123,0.93,0.46,0.69,0.03,76,2015
Ibiza Session Track 820,Jamie Jones,126,0.6,0.64,0.87,0.07,71,2018
Ibiza Session Track 821,Tale Of Us,70,0.6,0.37,0.69,0.76,43,1998
Ibiza Session Track 822,The Martinez Brothers,133,0.93,0.19,0.64,0.08,50,2019
Ibiza Session Track 823,Peggy Gou,126,0.81,0.12,0.64,0.07,61,2006
Ibiza Session Track 824,MK,92,0.35,0.57,0.66,0.53,61,2015
Ibiza Session Track 825,The Martinez Brothers,129,0.74,0.11,0.67,0.04,53,2003
Ibiza Session Track 826,Tale Of Us,126,0.84,0.25,0.7,0.05,62,1995
Ibiza Session Track 827,Peggy Gou,99,0.31,0.64,0.67,0.34,69,2016
Ibiza Session Track 828,Carl Cox,127,0.83,0.27,0.74,0.04,73,2023
Ibiza Session Track 829,Calvin Harris,131,0.75,0.26,0.6,0.03,73,2015
Ibiza Session Track 830,Fisher,127,0.88,0.7,0.64,0.02,45,2022
Ibiza Session Track 831,Black Coffee,127,0.77,0.18,0.63,0.1,80,2020
Ibiza Session Track 832,Tale Of Us,133,0.75,0.25,0.71,0.09,65,1998
Ibiza Session Track 833,Marco Carola,119,0.63,0.77,0.71,0.16,41,2025
Ibiza Session Track 834,Solomun,124,0.68,0.59,0.81,0.11,46,1999
Ibiza Session Track 835,Carl Cox,125,0.99,0.61,0.63,0.05,54,2021
Ibiza Session Track 836,Peggy Gou,124,0.73,0.24,0.7,0.04,51,2013
Ibiza Session Track 837,Marco Carola,128,0.81,0.23,0.71,0.01,75,2022
Ibiza Session Track 838,Black Coffee,125,0.96,0.52,0.71,0.0,57,1997
Ibiza Session Track 839,Calvin Harris,130,0.88,0.51,0.68,0.05,67,2003
Ibiza Session Track 840,Jamie Jones,122,0.87,0.55,0.88,0.12,42,2016
Ibiza Session Track 841,Fisher,131,0.71,0.4,0.72,0.03,44,1997
Ibiza Session Track 842,Jamie Jones,99,0.49,0.38,0.54,0.39,76,2012
Ibiza Session Track 843,Solomun,97,0.34,0.62,0.56,0.64,56,2020
Ibiza Session Track 844,MK,124,0.91,0.66,0.72,0.03,63,2002
Ibiza Session Track 845,Maceo Plex,110,0.58,0.34,0.55,0.8,58,2012
Ibiza Session Track 846,Tale Of Us,129,0.88,0.3,0.72,0.0,80,2022
Ibiza Session Track 847,Black Coffee,109,0.54,0.37,0.59,0.66,51,2015
Ibiza Session Track 848,Calvin Harris,124,0.77,0.51,0.77,0.13,44,2022
Ibiza Session Track 849,Marco Carola,128,0.93,0.55,0.62,0.0,56,2023
Ibiza Session Track 850,Calvin Harris,122,0.79,0.56,0.88,0.04,59,2010
Ibiza Session Track 851,Tale Of Us,127,0.91,0.73,0.71,0.02,59,2023
Ibiza Session Track 852,Hot Since 82,102,0.4,0.44,0.57,0.6,80,2013
Ibiza Session Track 853,Carl Cox,128,0.93,0.71,0.61,0.01,63,2020
Ibiza Session Track 854,Solomun,128,0.9,0.63,0.67,0.02,44,2013
Ibiza Session Track 855,The Martinez Brothers,130,0.98,0.75,0.67,0.03,74,2017
Ibiza Session Track 856,David Guetta,108,0.37,0.36,0.68,0.51,66,2009
Ibiza Session Track 857,MK,122,0.87,0.84,0.84,0.01,43,2008
Ibiza Session Track 858,Peggy Gou,128,0.97,0.47,0.67,0.04,55,2016
Ibiza Session Track 859,Peggy Gou,128,0.86,0.49,0.65,0.04,76,2014
Ibiza Session Track 860,David Guetta,128,0.83,0.23,0.7,0.1,73,2025
Ibiza Session Track 861,MK,113,0.39,0.44,0.63,0.71,71,2014
Ibiza Session Track 862,The Martinez Brothers,127,0.91,0.6,0.68,0.04,40,2023
Ibiza Session Track 863,David Guetta,124,0.75,0.38,0.7,0.06,44,2011
Ibiza Session Track 864,Jamie Jones,129,0.87,0.78,0.71,0.03,77,2015
Ibiza Session Track 865,Carl Cox,128,0.79,0.22,0.79,0.01,70,2018
Ibiza Session Track 866,Fisher,129,0.96,0.42,0.64,0.04,69,2009
Ibiza Session Track 867,Calvin Harris,124,0.75,0.66,0.77,0.11,80,1997
Ibiza Session Track 868,Marco Carola,129,0.68,0.89,0.74,0.11,62,2022
Ibiza Session Track 869,Solomun,126,0.86,0.57,0.66,0.0,45,2024
Ibiza Session Track 870,David Guetta,124,0.74,0.64,0.9,0.15,79,2010
Ibiza Session Track 871,Jamie Jones,130,0.82,0.36,0.67,0.04,52,2015
Ibiza Session Track 872,Fisher,122,0.94,0.53,0.72,0.01,61,2016
Ibiza Session Track 873,Calvin Harris,91,0.37,0.49,0.65,0.45,50,2021
Ibiza Session Track 874,Maceo Plex,121,0.94,0.39,0.73,0.01,65,2017
Ibiza Session Track 875,Hot Since 82,123,0.83,0.74,0.83,0.19,79,2024
Ibiza Session Track 876,Jamie Jones,96,0.43,0.63,0.59,0.75,44,1998
Ibiza Session Track 877,Jamie Jones,122,0.74,0.51,0.83,0.2,57,2008
Ibiza Session Track 878,Hot Since 82,124,0.87,0.18,0.67,0.05,70,2009
Ibiza Session Track 879,David Guetta,126,0.96,0.73,0.72,0.04,51,1999
Ibiza Session Track 880,Tale Of Us,127,0.79,0.18,0.73,0.02,75,2015
Ibiza Session Track 881,Peggy Gou,128,0.74,0.34,0.79,0.1,65,2015
Ibiza Session Track 882,Solomun,125,0.85,0.7,0.65,0.0,42,2021
Ibiza Session Track 883,Solomun,126,0.73,0.33,0.78,0.03,71,2020
Ibiza Session Track 884,Tale Of Us,90,0.37,0.49,0.65,0.62,57,2009
Ibiza Session Track 885,Jamie Jones,125,0.86,0.6,0.65,0.0,42,1998
Ibiza Session Track 886,Carl Cox,87,0.5,0.69,0.54,0.65,74,2008
Ibiza Session Track 887,The Martinez Brothers,130,0.92,0.75,0.63,0.02,53,2021
Ibiza Session Track 888,Black Coffee,128,0.86,0.37,0.77,0.07,48,1997
Ibiza Session Track 889,Peggy Gou,125,0.9,0.89,0.75,0.08,79,2018
Ibiza Session Track 890,The Martinez Brothers,127,0.89,0.68,0.73,0.19,42,2013
Ibiza Session Track 891,Carl Cox,112,0.37,0.43,0.7,0.64,42,1995
Ibiza Session Track 892,Jamie Jones,123,0.64,0.72,0.76,0.14,46,2000
Ibiza Session Track 893,Jamie Jones,89,0.47,0.52,0.65,0.67,74,2004
Ibiza Session Track 894,Hot Since 82,129,0.9,0.43,0.72,0.01,55,2018
Ibiza Session Track 895,Hot Since 82,97,0.36,0.31,0.64,0.65,58,2006
Ibiza Session Track 896,Tale Of Us,122,0.9,0.36,0.73,0.06,54,2011
Ibiza Session Track 897,Fisher,125,0.75,0.32,0.65,0.03,44,1996
Ibiza Session Track 898,David Guetta,128,0.88,0.22,0.75,0.04,43,2024
Ibiza Session Track 899,Maceo Plex,125,0.89,0.86,0.76,0.11,63,1998
Ibiza Session Track 900,Hot Since 82,130,0.91,0.54,0.73,0.01,56,2012
Ibiza Session Track 901,Calvin Harris,129,0.86,0.65,0.71,0.03,68,2025
Ibiza Session Track 902,Fisher,130,0.9,0.67,0.61,0.04,46,2023
Ibiza Session Track 903,MK,126,0.91,0.54,0.66,0.02,75,2018
Ibiza Session Track 904,David Guetta,121,0.72,0.54,0.7,0.0,51,2001
Ibiza Session Track 905,Jamie Jones,122,0.83,0.53,0.9,0.1,46,1999
Ibiza Session Track 906,David Guetta,131,0.87,0.73,0.68,0.04,75,2013
Ibiza Session Track 907,Fisher,126,0.91,0.43,0.7,0.03,53,2016
Ibiza Session Track 908,Hot Since 82,123,0.75,0.65,0.83,0.03,73,1998
Ibiza Session Track 909,Peggy Gou,101,0.4,0.63,0.66,0.68,67,2008
Ibiza Session Track 910,Calvin Harris,126,0.81,0.67,0.72,0.08,46,2004
Ibiza Session Track 911,Peggy Gou,129,0.8,0.37,0.63,0.01,49,2014
Ibiza Session Track 912,MK,120,0.66,0.58,0.72,0.18,72,2006
Ibiza Session Track 913,Marco Carola,125,0.67,0.56,0.78,0.04,46,1996
Ibiza Session Track 914,Jamie Jones,121,0.81,0.73,0.74,0.0,71,2019
Ibiza Session Track 915,David Guetta,123,0.94,0.46,0.72,0.0,71,2005
Ibiza Session Track 916,David Guetta,107,0.41,0.41,0.59,0.59,72,2007
Ibiza Session Track 917,Marco Carola,107,0.52,0.5,0.63,0.4,66,2015
Ibiza Session Track 918,Black Coffee,83,0.48,0.55,0.58,0.7,76,2013
Ibiza Session Track 919,Peggy Gou,128,0.86,0.54,0.74,0.02,49,2002
Ibiza Session Track 920,Solomun,123,0.74,0.27,0.63,0.08,78,1995
Ibiza Session Track 921,MK,129,0.94,0.8,0.63,0.02,47,2015
Ibiza Session Track 922,Peggy Gou,131,0.94,0.67,0.65,0.03,69,1995
Ibiza Session Track 923,Jamie Jones,103,0.46,0.56,0.69,0.67,43,2002
Ibiza Session Track 924,Solomun,116,0.53,0.48,0.59,0.4,76,2011
Ibiza Session Track 925,MK,127,0.92,0.6,0.72,0.03,61,1998
Ibiza Session Track 926,Jamie Jones,127,0.61,0.54,0.83,0.16,70,2018
Ibiza Session Track 927,Hot Since 82,127,0.86,0.79,0.62,0.03,75,2013
Ibiza Session Track 928,Black Coffee,129,0.97,0.77,0.6,0.02,60,2002
Ibiza Session Track 929,Calvin Harris,99,0.58,0.36,0.57,0.43,45,2023
Ibiza Session Track 930,Tale Of Us,126,0.87,0.54,0.6,0.03,50,2000
Ibiza Session Track 931,Tale Of Us,124,0.76,0.12,0.65,0.06,73,2020
Ibiza Session Track 932,Peggy Gou,125,0.77,0.84,0.78,0.09,64,2017
Ibiza Session Track 933,Black Coffee,121,0.86,0.77,0.9,0.16,48,1996
Ibiza Session Track 934,The Martinez Brothers,130,0.8,0.15,0.76,0.04,60,2007
Ibiza Session Track 935,Maceo Plex,129,0.96,0.45,0.62,0.03,58,1995
Ibiza Session Track 936,Calvin Harris,129,0.94,0.69,0.72,0.02,57,1995
Ibiza Session Track 937,Maceo Plex,120,0.78,0.86,0.83,0.15,67,2010
Ibiza Session Track 938,The Martinez Brothers,126,0.92,0.74,0.67,0.01,58,2012
Ibiza Session Track 939,The Martinez Brothers,130,0.85,0.31,0.68,0.07,80,1999
Ibiza Session Track 940,Hot Since 82,127,0.86,0.44,0.69,0.0,67,2021
Ibiza Session Track 941,Marco Carola,96,0.32,0.44,0.53,0.39,57,2009
Ibiza Session Track 942,Calvin Harris,108,0.33,0.61,0.68,0.5,68,1998
Ibiza Session Track 943,The Martinez Brothers,126,0.73,0.33,0.71,0.04,68,2012
Ibiza Session Track 944,Solomun,121,0.64,0.66,0.71,0.05,74,1996
Ibiza Session Track 945,Black Coffee,96,0.34,0.32,0.5,0.39,59,1998
Ibiza Session Track 946,The Martinez Brothers,124,0.88,0.74,0.65,0.01,45,2018
Ibiza Session Track 947,Calvin Harris,128,0.89,0.76,0.7,0.02,51,2010
Ibiza Session Track 948,Carl Cox,126,0.67,0.9,0.84,0.13,67,2000
Ibiza Session Track 949,The Martinez Brothers,122,0.64,0.65,0.77,0.18,58,2005
Ibiza Session Track 950,Peggy Gou,126,0.71,0.36,0.66,0.05,65,2000
Ibiza Session Track 951,Hot Since 82,97,0.49,0.68,0.67,0.47,68,2009
Ibiza Session Track 952,Hot Since 82,125,0.66,0.78,0.88,0.09,64,1997
Ibiza Session Track 953,Solomun,129,0.93,0.16,0.69,0.04,67,2001
Ibiza Session Track 954,Carl Cox,127,0.99,0.41,0.64,0.0,71,2001
Ibiza Session Track 955,The Martinez Brothers,128,0.94,0.47,0.66,0.04,59,2008
Ibiza Session Track 956,Tale Of Us,97,0.55,0.33,0.51,0.37,53,2017
Ibiza Session Track 957,Jamie Jones,126,0.86,0.58,0.73,0.01,40,2015
Ibiza Session Track 958,MK,113,0.59,0.65,0.64,0.38,77,2022
Ibiza Session Track 959,Fisher,130,0.96,0.77,0.74,0.0,54,2008
Ibiza Session Track 960,David Guetta,124,0.78,0.75,0.71,0.16,65,2008
Ibiza Session Track 961,Carl Cox,125,0.89,0.34,0.72,0.08,56,2023
Ibiza Session Track 962,Carl Cox,124,0.83,0.53,0.84,0.19,45,1996
Ibiza Session Track 963,Calvin Harris,125,0.75,0.75,0.89,0.09,49,2022
Ibiza Session Track 964,Marco Carola,126,0.96,0.5,0.73,0.03,63,2013
Ibiza Session Track 965,Jamie Jones,123,0.84,0.56,0.88,0.01,62,2007
Ibiza Session Track 966,David Guetta,97,0.33,0.33,0.68,0.75,49,2007
Ibiza Session Track 967,MK,77,0.47,0.63,0.54,0.76,64,2006
Ibiza Session Track 968,Maceo Plex,126,0.78,0.38,0.64,0.05,42,2010
Ibiza Session Track 969,Solomun,126,0.64,0.85,0.85,0.13,67,2023
